,name,description,number_of_employees,total_money_raised,category_code,tag_list,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
0,Lala,Lala Headquarters,,$44.2M,games_video,,209 Hamilton Ave,Suite #200,94301,Palo Alto,CA,USA,37.451151,-122.154369
1,Joost,,0.0,$45M,games_video,"iptv, babelgum, television, video, theveniceproject",100 5th Ave Fl 6,,10011-6903,New York,NY,USA,40.7464969,-74.0094471
2,Babelgum,,,$13.2M,games_video,"iptv, web2ireland",,,,London,,GBR,53.344104,-6.267494
3,Kyte,,40.0,$23.4M,games_video,"video, mobile, iphone-app, video-platform, mobile-app, media, interactive",442 Post Street,10th Floor,94102,San Francisco,CA,USA,37.788482,-122.409173
4,Veoh,,,$69.8M,games_video,"veoh, video, veohtv, socialvideo, videosharing, crunchbase, inuyasha",10180 Telesis Court Suite,Suite  400,92121,San Diego,CA,USA,32.902266,-117.20834
5,YouTube,Corporate Headquarters,0.0,$11.5M,games_video,"channels, movies, rentals, share, usergeneratedvideo, viralvideo, video, videos",901 Cherry Ave,,94066,San Bruno,CA,USA,37.627971,-122.426804
6,blogTV,Headquarters,,$3M,games_video,"blogtv, broadcast, chat, live",30 Ben Gurion St.,,52573,Ramat Gan,,ISR,31.046051,34.851612
7,Livestream,Livestream HQ,120.0,$14.7M,games_video,"mogulus, ustream, justin-tv, live-broadcast, streaming, video, livecastr, livestream","111 8th Avenue, #1509",,10011,New York,NY,USA,40.726155,-73.995625
8,Ustream,San Francisco Office,250.0,$60.1M,games_video,"live, stream, streaming, video, videos, broadcast, broadcasting, mobile, app",410 Townsend,Suite 400,94107,San Francisco,CA,USA,37.392936,-122.07948
9,Ustream,Los Angeles Office,250.0,$60.1M,games_video,"live, stream, streaming, video, videos, broadcast, broadcasting, mobile, app",6725 W Sunset Blvd,Suite 320,90028,Los Angeles,CA,USA,,
10,Ustream,Budapest Office,250.0,$60.1M,games_video,"live, stream, streaming, video, videos, broadcast, broadcasting, mobile, app",,,,Budapest,,HUN,,
11,AdaptiveBlue,,15.0,$24M,games_video,"semantic-web, contextual-browsing, recommendations, entertainment, checkins",131 Varick St,,10013,NYC,NY,USA,40.801358,-74.3372
12,Pando Networks,,23.0,$11M,games_video,"p2p, video, streaming, download, cdn",520 Broadway,10th Floor,10012,New York,NY,USA,40.722655,-73.99873
13,Revision3,HQ,,$9M,games_video,"video, digg, msn",2415 3rd St,,94107,San Francisco,CA,USA,37.757758,-122.388243
14,CastTV,,0.0,$3.1M,games_video,"videosearch, techcrunch40",374 Brannan St.,,94107,San Francisco,CA,USA,37.780716,-122.393913
15,SellABand,,,$5M,games_video,"musicmonetizatoin, music, bands",Harderhook 22,,,46395 Bocholt,,DEU,51.808933,6.553452
16,Funny Or Die,Head Quarters,,$18M,games_video,"celebrity, video, comedy",167 2nd Ave,,94401,San Mateo,CA,USA,37.421621,-122.137444
17,MeeVee,,,$25M,games_video,"tvguide, video","500 Airport Blvd., Suite 400",,94010,Burlingame,CA,USA,37.590339,-122.341715
18,RockYou,,106.0,$136M,games_video,"widgets, photos, avatars, countdown, horoscope, voicemail, rockyou, facebook, highoktane",585 Broadway,Suite A,94063,Redwood City,CA,USA,37.484619,-122.206893
19,iLike,,28.0,$16.5M,games_video,"socialmusic, ilike, musicrecommendation, music, social, artists, musicians","1605 Boylston Ave, Suite 202",,98122,Seattle,WA,USA,47.615313,-122.323408
20,hi5,,100.0,$52M,games_video,"hi5, socialnetworking, musicnetwork, youyu",55 Second Street,Suite 400,94105,San Francisco,CA,USA,37.788668,-122.400558
21,Curse,San Francisco,58.0,$12M,games_video,"mmo, curse",60 Broadway,,94111,San Francisco,CA,USA,37.787092,-122.399972
22,Curse,Huntsville,58.0,$12M,games_video,"mmo, curse",150 West Park Loop NW,,35806,Huntsville,AL,USA,,
23,PeerMe,,,$5M,games_video,"voip, mvoip, videoconferencing",2115 Landings Drive,,94043,Mountain View,CA,USA,37.419819,-122.090188
24,Vuze,Headquarters,20.0,$34M,games_video,,4 W. 4th Ave,,94402,San Mateo,CA,USA,37.4858654,-122.2262606
25,PodTech,,,$7.5M,games_video,"videonetwork, onlinevideo, technologyvideo",1801 Page Mill Rd - Suite 400,,94304,Palo Alto,CA,USA,37.408256,-122.154176
26,Crackle,,,$1.75M,games_video,"online-video, movies, television, original, online, content, sony",10202 W. Washington Blvd,SPP 1127b,90232,Culver City,CA,USA,34.017506,-118.401579
27,BuddyTV,Seattle Headquarters,20.0,$10.6M,games_video,"tv, tvguide",190 Queen Anne Ave Suite 280,,98109,Seattle,WA,USA,47.61968,-122.356756
