,name,address,latitude,longitude,categories
0,New York Dog Spa & Hotel,"32 W 25th St (Btw 6th Ave and Broadway), New York, NY 10010",40.743422,-73.990714,Pet Grooming Service
1,D is for Doggy,"156 W 22nd St (7th Avenue), New York, NY 10011",40.743024,-73.995458,Pet Grooming Service
2,Towne House Grooming,"288 8th Ave (btwn W 24th & W 25th St.), New York, NY 10001",40.746258,-73.997551,Pet Grooming Service
3,Paws In Chelsea,"145 W 24th St (6th), New York, NY 10011",40.744518,-73.994076,Pet Grooming Service
4,Kimomi Pet,"127 Madison Ave, New York, NY 10016",40.745535,-73.98442,Pet Grooming Service
5,Puppy Loft,"237 W 26th St (btwn 7th & 8th), New York, NY 10001",40.746897,-73.995873,Pet Grooming Service
6,Canine Retreat by AKC,"145 W 20th St, New York, NY 10011",40.741934,-73.995852,Pet Grooming Service
7,Urban Dog Spa,"32 W 25th St, New York, NY 10010",40.743367,-73.990755,Pet Grooming Service
8,In Home Dog Grooming NYC,"101 W 23rd St, New York, NY 10011",40.743306,-73.993024,Pet Grooming Service
9,The Cat Practice Veterinary Hospital,"137 5th Ave, New York, NY 10010",40.739755,-73.990657,Pet Grooming Service
