,name,address,latitude,longitude,categories
0,Black Hammer Brewing,"544 Bryant St (at 3rd St), San Francisco, CA 94107",37.780716,-122.397119,Beer Garden
1,Local Edition,"691 Market St (at 3rd St), San Francisco, CA 94105",37.787577,-122.403115,Cocktail Bar
2,Wine Down SF,"685 Folsom St (3rd St.), San Francisco, CA 94107",37.783984,-122.398387,Beer Bar
3,Taksim,"564 4th St, San Francisco, CA 94107",37.778732,-122.397433,Cocktail Bar
4,Kona's Street Market,"32 3rd St, San Francisco, CA 94103",37.786996,-122.40344,Cocktail Bar
5,Rooh,"333 Brannan St, San Francisco, CA 94107",37.781075,-122.392409,Cocktail Bar
6,Marianne's,"360 Jessie St (at 5th St), San Francisco, CA 94103",37.783499,-122.40689,Cocktail Bar
7,Novela,"662 Mission St (at Annie St), San Francisco, CA 94105",37.787122,-122.401368,Cocktail Bar
8,Burma Club,"8 Mint Plz, San Francisco, CA 94103",37.782957,-122.408005,Cocktail Bar
9,Gold Club,"650 Howard St, San Francisco, CA 94105",37.785979,-122.399652,Cocktail Bar
